[2025-02-12T16:08:18.105+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-16T17:00:00+00:00 [queued]>
[2025-02-12T16:08:18.133+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-16T17:00:00+00:00 [queued]>
[2025-02-12T16:08:18.134+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 4
[2025-02-12T16:08:27.403+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-01-16 17:00:00+00:00
[2025-02-12T16:08:27.426+0000] {standard_task_runner.py:57} INFO - Started process 5639 to run task
[2025-02-12T16:08:27.434+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-01-16T17:00:00+00:00', '--job-id', '88', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator_dag.py', '--cfg-path', '/tmp/tmp12izd022']
[2025-02-12T16:08:27.440+0000] {standard_task_runner.py:85} INFO - Job 88: Subtask generate_txn_fact_data
[2025-02-12T16:08:23.773+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-16T17:00:00+00:00 [running]> on host 5879df32f101
[2025-02-12T16:08:23.994+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoyseiha@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-01-16T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-16T17:00:00+00:00'
[2025-02-12T16:08:24.008+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-12T16:08:24.010+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-02-12T16:08:24.012+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-12T16:08:24.155+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-02-12T16:08:24.156+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-12T16:08:24.386+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-12T16:08:24.387+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-12T16:08:24.387+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.4', 9092)]>: Closing connection. 
[2025-02-12T16:08:31.692+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1710432504190, 'account_id': 'A00904', 'customer_id': 'C00335', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00723', 'transaction_amount': 23.33, 'exchange_rate': 0.8155}
[2025-02-12T16:08:31.695+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1729786111694, 'account_id': 'A00568', 'customer_id': 'C00737', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00684', 'transaction_amount': 4921.89, 'exchange_rate': 1.0786}
[2025-02-12T16:08:31.698+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1714061311697, 'account_id': 'A00024', 'customer_id': 'C00010', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00225', 'transaction_amount': 6017.23, 'exchange_rate': 1.1602}
[2025-02-12T16:08:31.707+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1722010111706, 'account_id': 'A00844', 'customer_id': 'C00959', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00885', 'transaction_amount': 5519.49, 'exchange_rate': 0.9382}
[2025-02-12T16:08:31.710+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1730131711709, 'account_id': 'A00880', 'customer_id': 'C00499', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00569', 'transaction_amount': 7631.96, 'exchange_rate': 0.6548}
[2025-02-12T16:08:31.712+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1726589311712, 'account_id': 'A00847', 'customer_id': 'C00183', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00279', 'transaction_amount': 9901.05, 'exchange_rate': 0.7588}
[2025-02-12T16:08:31.719+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1711814911718, 'account_id': 'A00271', 'customer_id': 'C00978', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00779', 'transaction_amount': 2319.57, 'exchange_rate': 0.7349}
[2025-02-12T16:08:31.722+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1736957311721, 'account_id': 'A00835', 'customer_id': 'C00336', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00722', 'transaction_amount': 4687.42, 'exchange_rate': 1.4078}
[2025-02-12T16:08:31.726+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1715962111726, 'account_id': 'A00768', 'customer_id': 'C00001', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00777', 'transaction_amount': 276.21, 'exchange_rate': 1.1959}
[2025-02-12T16:08:31.733+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1716480511730, 'account_id': 'A00631', 'customer_id': 'C00956', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00939', 'transaction_amount': 5247.91, 'exchange_rate': 0.5407}
[2025-02-12T16:08:31.739+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1728490111737, 'account_id': 'A00011', 'customer_id': 'C00131', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00301', 'transaction_amount': 4811.41, 'exchange_rate': 0.562}
[2025-02-12T16:08:31.745+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000012', 'transaction_date': 1720973311741, 'account_id': 'A00637', 'customer_id': 'C00397', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00836', 'transaction_amount': 5556.79, 'exchange_rate': 0.5055}
