[2025-02-12T16:08:32.688+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-23T17:00:00+00:00 [queued]>
[2025-02-12T16:08:32.703+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-23T17:00:00+00:00 [queued]>
[2025-02-12T16:08:32.704+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 4
[2025-02-12T16:08:32.727+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-01-23 17:00:00+00:00
[2025-02-12T16:08:32.743+0000] {standard_task_runner.py:57} INFO - Started process 5720 to run task
[2025-02-12T16:08:32.751+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-01-23T17:00:00+00:00', '--job-id', '95', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator_dag.py', '--cfg-path', '/tmp/tmpue6cxpt4']
[2025-02-12T16:08:32.758+0000] {standard_task_runner.py:85} INFO - Job 95: Subtask generate_txn_fact_data
[2025-02-12T16:08:32.887+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-23T17:00:00+00:00 [running]> on host 5879df32f101
[2025-02-12T16:08:33.091+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoyseiha@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-01-23T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-23T17:00:00+00:00'
[2025-02-12T16:08:33.121+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-12T16:08:33.122+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-02-12T16:08:33.125+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-12T16:08:33.254+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-02-12T16:08:33.255+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-12T16:08:33.276+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1717862913274, 'account_id': 'A00309', 'customer_id': 'C00260', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00856', 'transaction_amount': 5673.78, 'exchange_rate': 0.5208}
[2025-02-12T16:08:33.279+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1710691713278, 'account_id': 'A00893', 'customer_id': 'C00746', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00466', 'transaction_amount': 9800.41, 'exchange_rate': 1.4635}
[2025-02-12T16:08:33.281+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1730736513281, 'account_id': 'A00203', 'customer_id': 'C00140', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00116', 'transaction_amount': 9534.22, 'exchange_rate': 1.1016}
[2025-02-12T16:08:33.284+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1731600513284, 'account_id': 'A00557', 'customer_id': 'C00285', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00581', 'transaction_amount': 9315.5, 'exchange_rate': 1.0366}
[2025-02-12T16:08:33.286+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1735920513286, 'account_id': 'A00911', 'customer_id': 'C00682', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00453', 'transaction_amount': 242.79, 'exchange_rate': 0.7512}
[2025-02-12T16:08:33.289+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1717776513288, 'account_id': 'A00272', 'customer_id': 'C00692', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00477', 'transaction_amount': 8641.05, 'exchange_rate': 0.6301}
[2025-02-12T16:08:33.291+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1712074113290, 'account_id': 'A00085', 'customer_id': 'C00550', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00078', 'transaction_amount': 9793.81, 'exchange_rate': 0.9254}
[2025-02-12T16:08:33.295+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1712765313294, 'account_id': 'A00358', 'customer_id': 'C00430', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00521', 'transaction_amount': 5986.39, 'exchange_rate': 0.6433}
[2025-02-12T16:08:33.301+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1734192513301, 'account_id': 'A00314', 'customer_id': 'C00948', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00554', 'transaction_amount': 8610.71, 'exchange_rate': 0.6871}
[2025-02-12T16:08:33.303+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1735142913303, 'account_id': 'A00686', 'customer_id': 'C00612', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00358', 'transaction_amount': 8364.95, 'exchange_rate': 0.8117}
[2025-02-12T16:08:33.305+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1720627713305, 'account_id': 'A00122', 'customer_id': 'C00298', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00627', 'transaction_amount': 4794.35, 'exchange_rate': 0.6458}
