[2025-02-13T14:01:29.996+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-27T17:00:00+00:00 [queued]>
[2025-02-13T14:01:30.008+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-27T17:00:00+00:00 [queued]>
[2025-02-13T14:01:30.008+0000] {taskinstance.py:1359} INFO - Starting attempt 4 of 4
[2025-02-13T14:01:30.025+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-01-27 17:00:00+00:00
[2025-02-13T14:01:30.033+0000] {standard_task_runner.py:57} INFO - Started process 5597 to run task
[2025-02-13T14:01:30.038+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-01-27T17:00:00+00:00', '--job-id', '141', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator_dag.py', '--cfg-path', '/tmp/tmpymi1jm0o']
[2025-02-13T14:01:30.042+0000] {standard_task_runner.py:85} INFO - Job 141: Subtask generate_txn_fact_data
[2025-02-13T14:01:30.111+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-27T17:00:00+00:00 [running]> on host 5879df32f101
[2025-02-13T14:01:30.227+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoyseiha@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-01-27T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-27T17:00:00+00:00'
[2025-02-13T14:01:30.233+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.6', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.6', 9092) IPv4]
[2025-02-13T14:01:30.233+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-02-13T14:01:30.235+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.6', 9092)]>: Connection complete.
[2025-02-13T14:01:30.338+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-02-13T14:01:30.339+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-13T14:01:30.345+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1728828090343, 'account_id': 'A00234', 'customer_id': 'C00312', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00188', 'transaction_amount': 8635.33, 'exchange_rate': 0.9355}
[2025-02-13T14:01:30.347+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1724508090346, 'account_id': 'A00255', 'customer_id': 'C00250', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00032', 'transaction_amount': 1766.11, 'exchange_rate': 1.3263}
[2025-02-13T14:01:30.348+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1709647290348, 'account_id': 'A00379', 'customer_id': 'C00142', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00477', 'transaction_amount': 5219.76, 'exchange_rate': 0.6989}
[2025-02-13T14:01:30.350+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1713621690350, 'account_id': 'A00016', 'customer_id': 'C00205', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00102', 'transaction_amount': 6067.17, 'exchange_rate': 0.815}
[2025-02-13T14:01:30.352+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1725458490351, 'account_id': 'A00132', 'customer_id': 'C00937', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00022', 'transaction_amount': 5336.2, 'exchange_rate': 1.0936}
[2025-02-13T14:01:30.354+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1735912890354, 'account_id': 'A00327', 'customer_id': 'C00914', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00441', 'transaction_amount': 8823.52, 'exchange_rate': 0.5784}
[2025-02-13T14:01:30.356+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1730556090356, 'account_id': 'A00274', 'customer_id': 'C00152', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00751', 'transaction_amount': 7951.13, 'exchange_rate': 0.5268}
[2025-02-13T14:01:30.358+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1708956090357, 'account_id': 'A00849', 'customer_id': 'C00534', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00948', 'transaction_amount': 4162.54, 'exchange_rate': 1.4206}
[2025-02-13T14:01:30.359+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1737381690359, 'account_id': 'A00109', 'customer_id': 'C00622', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00964', 'transaction_amount': 9905.45, 'exchange_rate': 0.8572}
[2025-02-13T14:01:30.361+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1724940090361, 'account_id': 'A00238', 'customer_id': 'C00440', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00126', 'transaction_amount': 3311.67, 'exchange_rate': 0.9348}
[2025-02-13T14:01:30.363+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1722348090363, 'account_id': 'A00972', 'customer_id': 'C00549', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00984', 'transaction_amount': 7860.58, 'exchange_rate': 1.3638}
